TimeMs,Temp1,Temp2,Temp3,Temp4,CoolantTemp,Current,PumpCmd,FanCmd,PumpRpm,FanRpm,Fault
17300,34.9999,35.4999,34.5999,35.2999,29.112,100,15,0,600,0,0
17400,34.9999,35.4999,34.5999,35.2999,29.13,100,15,0,600,0,0
17500,34.9999,35.4999,34.5999,35.2999,29.1479,100,15,0,600,0,0
17600,34.9999,35.4999,34.5999,35.2999,29.1657,100,15,0,600,0,0
17700,34.9999,35.4999,34.5999,35.2999,29.1835,100,15,0,600,0,0
17800,34.9999,35.4999,34.5999,35.2999,29.2013,100,15,0,600,0,0
17900,34.9999,35.4999,34.5999,35.2999,29.219,100,15,0,600,0,0
18000,34.9999,35.4999,34.5999,35.2999,29.2366,100,15,0,600,0,0
18100,34.9999,35.4999,34.5999,35.2999,29.2542,100,15,0,600,0,0
18200,34.9999,35.4999,34.5999,35.2999,29.2717,100,15,0,600,0,0
18300,34.9999,35.4999,34.5999,35.2999,29.2892,100,15,0,600,0,0
18400,34.9999,35.4999,34.5999,35.2999,29.3067,100,15,0,600,0,0
18500,34.9999,35.4999,34.5999,35.2999,29.324,100,15,0,600,0,0
18600,34.9999,35.4999,34.5999,35.2999,29.3414,100,15,0,600,0,0
18700,34.9999,35.4999,34.5999,35.2999,29.3586,100,15,0,600,0,0
18800,34.9999,35.4999,34.5999,35.2999,29.3759,100,15,0,600,0,0
18900,34.9999,35.4999,34.5999,35.2999,29.393,100,15,0,600,0,0
19000,34.9999,35.4999,34.5999,35.2999,29.4102,100,15,0,600,0,0
19100,34.9999,35.4999,34.5999,35.2999,29.4272,100,15,0,600,0,0
19200,34.9999,35.4999,34.5999,35.2999,29.4442,100,15,0,600,0,0
19300,34.9999,35.4999,34.5999,35.2999,29.4612,100,15,0,600,0,0
19400,34.9999,35.4999,34.5999,35.2999,29.4781,100,15,0,600,0,0
19500,34.9999,35.4999,34.5999,35.2999,29.495,100,15,0,600,0,0
19600,34.9999,35.4999,34.5999,35.2999,29.5118,100,15,0,600,0,0
19700,34.9999,35.4999,34.5999,35.2999,29.5286,100,15,0,600,0,0
19800,34.9999,35.4999,34.5999,35.2999,29.5453,100,15,0,600,0,0
19900,34.9999,35.4999,34.5999,35.2999,29.562,100,15,0,600,0,0
20000,34.9999,35.4999,34.5999,35.2999,29.5786,100,15,0,600,0,0
20100,34.9999,35.4999,34.5999,35.2999,29.5951,320,15,0,600,0,0
20200,34.9999,35.4999,34.5999,35.2999,29.6116,320,15,0,600,0,0
20300,34.9999,35.4999,34.5999,35.2999,29.6281,320,15,0,600,0,0
20400,35,35.5,34.6,35.3,29.6445,320,15,0,600,0,0
20500,35,35.5,34.6,35.3,29.6609,320,15,0,600,0,0
20600,35,35.5,34.6,35.3,29.6772,320,15,0,600,0,0
20700,35,35.5,34.6,35.3,29.6935,320,15,0,600,0,0
20800,35,35.5,34.6,35.3,29.7097,320,15,0,600,0,0
20900,35.0001,35.5001,34.6001,35.3001,29.7259,320,15,0,600,0,0
21000,35.0001,35.5001,34.6001,35.3001,29.742,320,15,0,600,0,0
